tamanho,quicksort_ordenacao,quicksort_jaordenado,quicksort_decrescente,mergesort_ordenacao,mergesort_jaordenado,mergesort_decrescente,heapsort_ordenacao,heapsort_jaordenado,heapsort_decrescente,shellsort_ordenacao,shellsort_jaordenado,shellsort_decrescente
100000,0.013800,0.016000,0.000000,0.017400,0.015000,0.016000,0.018500,0.000000,0.016000,0.022000,0.000000,0.015000,
200000,0.020300,0.016000,0.000000,0.040600,0.031000,0.031000,0.035800,0.016000,0.031000,0.043700,0.000000,0.015000,
300000,0.034400,0.016000,0.016000,0.062400,0.046000,0.032000,0.054600,0.046000,0.032000,0.070200,0.015000,0.016000,
400000,0.043700,0.015000,0.016000,0.082800,0.062000,0.047000,0.070300,0.047000,0.062000,0.098100,0.016000,0.015000,
500000,0.054400,0.031000,0.015000,0.106400,0.063000,0.063000,0.093500,0.062000,0.063000,0.120200,0.015000,0.015000,
600000,0.067100,0.031000,0.032000,0.132600,0.078000,0.078000,0.114000,0.078000,0.078000,0.152900,0.031000,0.031000,
700000,0.078000,0.031000,0.031000,0.156000,0.109000,0.094000,0.137300,0.094000,0.093000,0.181000,0.016000,0.032000,
800000,0.088800,0.031000,0.047000,0.177900,0.109000,0.109000,0.156000,0.110000,0.109000,0.215400,0.031000,0.047000,
900000,0.103000,0.031000,0.047000,0.195000,0.125000,0.140000,0.173100,0.109000,0.110000,0.235600,0.046000,0.047000,
1000000,0.110700,0.047000,0.047000,0.222900,0.140000,0.141000,0.202900,0.140000,0.125000,0.272800,0.047000,0.062000,
1100000,0.124800,0.046000,0.047000,0.246400,0.156000,0.172000,0.229300,0.140000,0.141000,0.304200,0.046000,0.078000,
1200000,0.131100,0.047000,0.046000,0.270000,0.172000,0.172000,0.247900,0.156000,0.156000,0.344800,0.047000,0.078000,
1300000,0.146600,0.062000,0.063000,0.291500,0.187000,0.187000,0.269800,0.172000,0.156000,0.369800,0.063000,0.078000,
1400000,0.157600,0.078000,0.063000,0.318300,0.203000,0.202000,0.294800,0.188000,0.187000,0.404100,0.062000,0.094000,
1500000,0.163800,0.078000,0.063000,0.338600,0.218000,0.218000,0.319700,0.187000,0.203000,0.430500,0.062000,0.094000,
1600000,0.179300,0.078000,0.078000,0.360300,0.234000,0.234000,0.340000,0.218000,0.219000,0.472900,0.062000,0.093000,
1700000,0.187600,0.078000,0.063000,0.386900,0.265000,0.249000,0.369500,0.219000,0.219000,0.499300,0.078000,0.109000,
1800000,0.201100,0.093000,0.078000,0.409000,0.265000,0.265000,0.394600,0.234000,0.250000,0.542800,0.078000,0.109000,
1900000,0.210600,0.093000,0.094000,0.431900,0.281000,0.280000,0.418200,0.250000,0.249000,0.560000,0.094000,0.125000,
2000000,0.222900,0.093000,0.078000,0.455600,0.296000,0.296000,0.443000,0.266000,0.265000,0.608500,0.093000,0.125000,
