tamanho,quicksort_ordenacao,quicksort_jaordenado,quicksort_decrescente,mergesort_ordenacao,mergesort_jaordenado,mergesort_decrescente,heapsort_ordenacao,heapsort_jaordenado,heapsort_decrescente,shellsort_ordenacao,shellsort_jaordenado,shellsort_decrescente
100000,0.019900,0.011000,0.009000,0.050600,0.040000,0.039000,0.030000,0.025000,0.024000,0.041100,0.011000,0.016000,
200000,0.040800,0.019000,0.017000,0.102900,0.087000,0.088000,0.065500,0.053000,0.052000,0.090900,0.021000,0.030000,
300000,0.064400,0.030000,0.025000,0.159500,0.126000,0.127000,0.110800,0.106000,0.087000,0.147300,0.052000,0.049000,
400000,0.091000,0.042000,0.036000,0.257200,0.187000,0.172000,0.194100,0.117000,0.122000,0.246500,0.048000,0.061000,
500000,0.111700,0.055000,0.050000,0.308100,0.247000,0.212000,0.250000,0.149000,0.164000,0.295200,0.072000,0.090000,
600000,0.142800,0.073000,0.053000,0.373200,0.310000,0.272000,0.330500,0.190000,0.198000,0.382800,0.078000,0.116000,
700000,0.179500,0.075000,0.063000,0.423500,0.324000,0.315000,0.380500,0.256000,0.223000,0.458600,0.088000,0.119000,
800000,0.190900,0.086000,0.090000,0.520800,0.388000,0.372000,0.476300,0.249000,0.242000,0.498900,0.106000,0.159000,
900000,0.222000,0.098000,0.080000,0.636600,0.509000,0.556000,0.603300,0.357000,0.356000,0.678800,0.117000,0.223000,
1000000,0.265400,0.110000,0.089000,0.653500,0.461000,0.468000,0.659200,0.345000,0.333000,0.761900,0.136000,0.166000,
