tamanho,quicksort_ordenacao,quicksort_jaordenado,quicksort_decrescente,mergesort_ordenacao,mergesort_jaordenado,mergesort_decrescente,heapsort_ordenacao,heapsort_jaordenado,heapsort_decrescente,shellsort_ordenacao,shellsort_jaordenado,shellsort_decrescente
100000,0.012400,0.006000,0.004000,0.026800,0.018000,0.017000,0.018700,0.013000,0.014000,0.023300,0.005000,0.006000,
200000,0.026500,0.012000,0.009000,0.053500,0.035000,0.034000,0.041800,0.029000,0.028000,0.051700,0.010000,0.014000,
300000,0.040100,0.017000,0.014000,0.082000,0.055000,0.052000,0.064200,0.044000,0.044000,0.082300,0.015000,0.021000,
400000,0.053200,0.023000,0.020000,0.109800,0.072000,0.071000,0.088700,0.060000,0.060000,0.114100,0.021000,0.027000,
500000,0.066900,0.029000,0.025000,0.140900,0.092000,0.091000,0.114100,0.076000,0.076000,0.147600,0.027000,0.037000,
600000,0.080600,0.035000,0.029000,0.168600,0.113000,0.110000,0.138100,0.090000,0.092000,0.181200,0.032000,0.045000,
700000,0.093200,0.040000,0.035000,0.197800,0.131000,0.127000,0.163100,0.107000,0.108000,0.213300,0.038000,0.053000,
800000,0.106800,0.046000,0.041000,0.225200,0.147000,0.146000,0.190100,0.121000,0.121000,0.252900,0.044000,0.064000,
900000,0.120400,0.053000,0.045000,0.255200,0.169000,0.166000,0.217800,0.139000,0.141000,0.285700,0.050000,0.067000,
1000000,0.133500,0.058000,0.050000,0.282600,0.183000,0.185000,0.245400,0.153000,0.156000,0.322900,0.055000,0.074000,
