tamanho,quicksort_ordenacao,quicksort_jaordenado,quicksort_decrescente,mergesort_ordenacao,mergesort_jaordenado,mergesort_decrescente,heapsort_ordenacao,heapsort_jaordenado,heapsort_decrescente,shellsort_ordenacao,shellsort_jaordenado,shellsort_decrescente
100000,0.014200,0.006000,0.004000,0.029500,0.024000,0.023000,0.021300,0.016000,0.016000,0.034000,0.008000,0.011000
200000,0.028500,0.012000,0.011000,0.061000,0.049000,0.049000,0.046600,0.036000,0.034000,0.076000,0.018000,0.025000
300000,0.043500,0.019000,0.014000,0.094000,0.074000,0.074000,0.072500,0.054000,0.053000,0.120500,0.027000,0.037000
400000,0.058600,0.025000,0.021000,0.126400,0.100000,0.100000,0.099900,0.072000,0.072000,0.169600,0.037000,0.049000
500000,0.074100,0.032000,0.025000,0.159600,0.127000,0.127000,0.127700,0.091000,0.090000,0.222900,0.047000,0.065000
600000,0.089600,0.039000,0.032000,0.194200,0.157000,0.154000,0.155500,0.111000,0.110000,0.268400,0.057000,0.080000
700000,0.105200,0.046000,0.037000,0.228300,0.181000,0.181000,0.184700,0.130000,0.129000,0.331700,0.067000,0.095000
800000,0.120500,0.053000,0.043000,0.261900,0.208000,0.208000,0.213700,0.149000,0.149000,0.378100,0.076000,0.115000
900000,0.136600,0.061000,0.049000,0.297700,0.240000,0.239000,0.243900,0.172000,0.171000,0.436900,0.087000,0.120000
1000000,0.152000,0.068000,0.052000,0.329700,0.264000,0.264000,0.273900,0.189000,0.191000,0.496700,0.099000,0.132000
1100000,0.167700,0.075000,0.058000,0.367300,0.295000,0.294000,0.304200,0.209000,0.210000,0.538200,0.109000,0.147000
1200000,0.183600,0.088000,0.065000,0.405400,0.325000,0.323000,0.338000,0.235000,0.235000,0.617000,0.120000,0.162000
1300000,0.199500,0.090000,0.071000,0.435900,0.354000,0.352000,0.365600,0.251000,0.252000,0.673400,0.130000,0.181000
1400000,0.214600,0.104000,0.079000,0.472000,0.388000,0.381000,0.398200,0.271000,0.274000,0.740700,0.142000,0.196000
1500000,0.234300,0.105000,0.084000,0.512700,0.410000,0.408000,0.445900,0.295000,0.296000,0.827900,0.152000,0.213000
1600000,0.253600,0.111000,0.091000,0.555500,0.447000,0.442000,0.476600,0.317000,0.377000,0.930500,0.163000,0.239000
1700000,0.268000,0.119000,0.096000,0.608000,0.471000,0.503000,0.521100,0.347000,0.342000,0.957700,0.174000,0.241000
1800000,0.281600,0.127000,0.100000,0.627800,0.549000,0.506000,0.550800,0.358000,0.407000,1.023100,0.185000,0.262000
1900000,0.308200,0.134000,0.106000,0.671400,0.558000,0.531000,0.593600,0.379000,0.387000,1.091200,0.202000,0.274000
2000000,0.319300,0.143000,0.111000,0.687900,0.561000,0.556000,0.613700,0.409000,0.434000,1.128900,0.207000,0.294000
2100000,0.335800,0.152000,0.115000,0.728800,0.595000,0.582000,0.670700,0.428000,0.434000,1.196800,0.224000,0.309000
