tamanho,quicksort_ordenacao,quicksort_jaordenado,quicksort_decrescente,mergesort_ordenacao,mergesort_jaordenado,mergesort_decrescente,heapsort_ordenacao,heapsort_jaordenado,heapsort_decrescente,shellsort_ordenacao,shellsort_jaordenado,shellsort_decrescente
100000,0.012700,0.005000,0.004000,0.025500,0.016000,0.015000,0.018500,0.014000,0.013000,0.022900,0.004000,0.006000
200000,0.025700,0.011000,0.009000,0.051600,0.033000,0.034000,0.039900,0.027000,0.027000,0.049600,0.010000,0.014000
300000,0.039200,0.016000,0.014000,0.079600,0.053000,0.052000,0.061600,0.043000,0.043000,0.080100,0.016000,0.021000
400000,0.052300,0.023000,0.019000,0.108000,0.071000,0.070000,0.085800,0.059000,0.059000,0.112600,0.021000,0.028000
500000,0.066300,0.028000,0.024000,0.138700,0.092000,0.091000,0.111000,0.074000,0.074000,0.145300,0.026000,0.036000
600000,0.080400,0.034000,0.030000,0.168400,0.111000,0.112000,0.135400,0.089000,0.091000,0.178700,0.032000,0.045000
700000,0.093000,0.041000,0.035000,0.196400,0.129000,0.129000,0.160800,0.105000,0.106000,0.215700,0.038000,0.053000
800000,0.106800,0.046000,0.041000,0.224900,0.147000,0.145000,0.186700,0.121000,0.122000,0.251000,0.044000,0.065000
900000,0.120100,0.052000,0.045000,0.253900,0.167000,0.164000,0.213400,0.137000,0.138000,0.286600,0.050000,0.067000
1000000,0.133600,0.059000,0.050000,0.280600,0.185000,0.184000,0.238200,0.152000,0.155000,0.321600,0.056000,0.074000
