tamanho,quicksort_ordenacao,quicksort_jaordenado,quicksort_decrescente,mergesort_ordenacao,mergesort_jaordenado,mergesort_decrescente,heapsort_ordenacao,heapsort_jaordenado,heapsort_decrescente,shellsort_ordenacao,shellsort_jaordenado,shellsort_decrescente
100000,0.015600,0.000000,0.000000,0.025000,0.015000,0.016000,0.017100,0.016000,0.015000,0.021900,0.000000,0.016000,
200000,0.018700,0.000000,0.015000,0.057800,0.031000,0.032000,0.031200,0.031000,0.031000,0.057900,0.000000,0.016000,
300000,0.032800,0.016000,0.000000,0.078800,0.063000,0.047000,0.060500,0.047000,0.047000,0.081500,0.015000,0.016000,
400000,0.050000,0.031000,0.016000,0.109400,0.062000,0.078000,0.081300,0.047000,0.063000,0.106300,0.015000,0.032000,
500000,0.062300,0.031000,0.031000,0.134700,0.078000,0.094000,0.108100,0.078000,0.063000,0.142200,0.031000,0.031000,
600000,0.076400,0.031000,0.032000,0.162700,0.109000,0.109000,0.131100,0.079000,0.093000,0.172000,0.032000,0.046000,
700000,0.089000,0.047000,0.031000,0.193500,0.125000,0.125000,0.155100,0.110000,0.109000,0.208400,0.031000,0.047000,
800000,0.101700,0.047000,0.047000,0.218600,0.141000,0.140000,0.180000,0.110000,0.110000,0.242100,0.047000,0.062000,
900000,0.120900,0.047000,0.047000,0.253300,0.172000,0.156000,0.212300,0.141000,0.140000,0.284500,0.047000,0.062000,
1000000,0.132700,0.063000,0.047000,0.278300,0.187000,0.188000,0.237600,0.156000,0.156000,0.317200,0.047000,0.078000,
1100000,0.144600,0.063000,0.047000,0.302500,0.203000,0.203000,0.256200,0.157000,0.171000,0.348500,0.063000,0.078000,
1200000,0.158000,0.078000,0.063000,0.333000,0.218000,0.219000,0.291000,0.172000,0.188000,0.387400,0.078000,0.093000,
1300000,0.166300,0.078000,0.063000,0.357800,0.250000,0.234000,0.320200,0.188000,0.203000,0.429700,0.078000,0.094000,
1400000,0.180000,0.078000,0.062000,0.393900,0.266000,0.250000,0.362400,0.218000,0.219000,0.465700,0.078000,0.110000,
1500000,0.197000,0.078000,0.078000,0.420300,0.297000,0.297000,0.371900,0.219000,0.219000,0.501500,0.094000,0.109000,
1600000,0.209500,0.093000,0.078000,0.448900,0.297000,0.297000,0.401600,0.250000,0.250000,0.532800,0.078000,0.125000,
1700000,0.221900,0.093000,0.078000,0.480000,0.328000,0.313000,0.427500,0.250000,0.250000,0.573500,0.094000,0.125000,
1800000,0.233900,0.094000,0.094000,0.506100,0.344000,0.344000,0.459300,0.281000,0.282000,0.616100,0.093000,0.125000,
1900000,0.244600,0.110000,0.109000,0.542200,0.360000,0.360000,0.479300,0.296000,0.297000,0.647300,0.110000,0.141000,
2000000,0.259500,0.125000,0.109000,0.561000,0.375000,0.375000,0.507800,0.297000,0.296000,0.682400,0.126000,0.156000,
