tamanho,quicksort_ordenacao,quicksort_jaordenado,quicksort_decrescente,mergesort_ordenacao,mergesort_jaordenado,mergesort_decrescente,heapsort_ordenacao,heapsort_jaordenado,heapsort_decrescente,shellsort_ordenacao,shellsort_jaordenado,shellsort_decrescente
100000,23.000000,10.000000,0.000000,39.000000,20.000000,10.000000,31.000000,10.000000,20.000000,42.000000,0.000000,0.000000,
200000,32.000000,10.000000,10.000000,50.000000,30.000000,30.000000,50.000000,40.000000,30.000000,60.000000,10.000000,20.000000,
300000,49.000000,20.000000,20.000000,79.000000,70.000000,40.000000,72.000000,50.000000,50.000000,96.000000,20.000000,30.000000,
400000,68.000000,20.000000,30.000000,109.000000,60.000000,70.000000,101.000000,60.000000,70.000000,134.000000,20.000000,40.000000,
500000,82.000000,40.000000,20.000000,137.000000,90.000000,80.000000,127.000000,80.000000,90.000000,171.000000,30.000000,40.000000,
600000,103.000000,40.000000,30.000000,166.000000,100.000000,100.000000,161.000000,100.000000,110.000000,216.000000,30.000000,60.000000,
700000,123.000000,50.000000,40.000000,213.000000,130.000000,110.000000,218.000000,120.000000,120.000000,278.000000,60.000000,60.000000,
800000,136.000000,50.000000,40.000000,223.000000,130.000000,130.000000,222.000000,140.000000,150.000000,301.000000,50.000000,70.000000,
900000,156.000000,60.000000,50.000000,257.000000,160.000000,140.000000,253.000000,180.000000,190.000000,346.000000,60.000000,80.000000,
1000000,176.000000,80.000000,60.000000,288.000000,160.000000,170.000000,295.000000,180.000000,180.000000,391.000000,60.000000,80.000000,
